geonameid	name	latitude	longitude	cc	timezone
3832694	Villa Maria	-32.408	-63.240	AR	America/Argentina/Cordoba
3832756	Villa Dolores	-31.945	-65.190	AR	America/Argentina/Cordoba
3832778	Villa Constitucion	-33.228	-60.330	AR	America/Argentina/Cordoba
3832791	Villa Carlos Paz	-31.418	-64.490	AR	America/Argentina/Cordoba
3832811	Villa Angela	-27.577	-60.711	AR	America/Argentina/Cordoba
3832815	Villa Allende	-31.294	-64.298	AR	America/Argentina/Cordoba
3832899	Viedma	-40.813	-62.997	AR	America/Argentina/Salta
3832934	Victoria	-32.618	-60.155	AR	America/Argentina/Cordoba
3833027	Vera	-29.459	-60.213	AR	America/Argentina/Cordoba
3833062	Venado Tuerto	-33.746	-61.969	AR	America/Argentina/Cordoba
3833112	Veinticinco de Mayo	-35.432	-60.172	AR	America/Argentina/Buenos_Aires
3833367	Ushuaia	-54.811	-68.316	AR	America/Argentina/Ushuaia
3833412	Unquillo	-31.237	-64.312	AR	America/Argentina/Cordoba
3833794	Tres Isletas	-26.341	-60.432	AR	America/Argentina/Cordoba
3833859	Tres Arroyos	-38.377	-60.276	AR	America/Argentina/Buenos_Aires
3833883	Trelew	-43.249	-65.305	AR	America/Argentina/Catamarca
3834502	Termas de Rio Hondo	-27.494	-64.860	AR	America/Argentina/Cordoba
3834601	Tartagal	-22.517	-63.806	AR	America/Argentina/Salta
3834813	Tafi Viejo	-26.733	-65.261	AR	America/Argentina/Tucuman
3834971	Sunchales	-30.944	-61.561	AR	America/Argentina/Cordoba
3835793	Santo Tome	-31.663	-60.765	AR	America/Argentina/Cordoba
3835869	Santiago del Estero	-27.795	-64.261	AR	America/Argentina/Cordoba
3835994	Santa Rosa	-36.617	-64.283	AR	America/Argentina/Salta
3836194	Santa Lucia	-31.541	-68.498	AR	America/Argentina/San_Juan
3836277	Santa Fe	-31.649	-60.709	AR	America/Argentina/Cordoba
3836564	San Salvador de Jujuy	-24.195	-65.297	AR	America/Argentina/Jujuy
3836620	San Ramon de la Nueva Oran	-23.137	-64.324	AR	America/Argentina/Salta
3836669	San Rafael	-34.615	-68.332	AR	America/Argentina/Mendoza
3836772	San Pedro de Jujuy	-24.231	-64.866	AR	America/Argentina/Jujuy
3836846	San Nicolas de los Arroyos	-33.334	-60.211	AR	America/Argentina/Buenos_Aires
3836873	San Miguel de Tucuman	-26.824	-65.223	AR	America/Argentina/Tucuman
3836951	San Martin de los Andes	-40.158	-71.353	AR	America/Argentina/Salta
3836992	San Martin	-33.083	-68.473	AR	America/Argentina/Mendoza
3837056	San Luis	-33.295	-66.336	AR	America/Argentina/San_Luis
3837124	San Justo	-30.789	-60.592	AR	America/Argentina/Cordoba
3837213	San Juan	-31.538	-68.536	AR	America/Argentina/San_Juan
3837240	San Jose de Jachal	-30.242	-68.747	AR	America/Argentina/San_Juan
